scientific.name,scientific.name.new,english.name,english.name.new,deutscher.name,DDA_Kuerzel,western_palearctic,middle_europe,baden_wuerttemberg,bavarian_forest,voslappergroden,neerie,neerie_live,ICE_Werk_live,Ziegenmelker_Zwergohreule_Wallis,eastern_palearctic,Südostasien,Autor,Brutverbreitung,birdnet.names,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
Colaptes chrysoides,NA,Gilded Flicker,NA,Wüstengoldspecht,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Malherbe, 1852)","NA, MA: sw USA, nw Mexiko",Colaptes chrysoides_Gilded Flicker,Gilded Flicker,gilfli,species,11384,GIFL,NA,COCH,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Toxostoma lecontei,NA,LeConte's Thrasher,NA,Wüstenspottdrossel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Lawrence, 1851","NA, MA: sw USA, nw Mexiko",Toxostoma lecontei_LeConte's Thrasher,LeConte's Thrasher,lecthr,species,27123,LCTH,LETH,TOLE,Passeriformes,mimida2,Mockingbirds and Thrashers,Mimidae,NA,NA,NA
Cyanocorax yucatanicus,NA,Yucatan Jay,NA,Yucatánblaurabe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Dubois, AJC, 1875)",MA: Halbinsel Yucatán,Cyanocorax yucatanicus_Yucatan Jay,Yucatan Jay,yucjay1,species,20454,YUJA,NA,CYYU,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Chiroxiphia boliviana,NA,Yungas Manakin,NA,Yungaspipra,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Allen, JA, 1889",SA: s Peru bis s Bolivien,Chiroxiphia boliviana_Yungas Manakin,Yungas Manakin,yunman1,species,15059,NA,YUMA,CHBO,Passeriformes,piprid1,Manakins,Pipridae,NA,NA,NA
Phylloscopus yunnanensis,NA,Chinese Leaf Warbler,NA,Yunnanlaubsänger,,NA,NA,NA,NA,NA,NA,,,NA,1,NA,"La Touche, 1922","PAL: n, z China",Phylloscopus yunnanensis_Chinese Leaf Warbler,Chinese Leaf Warbler,chilew1,species,23949,NA,"CLWA,CHLW",PHYU,Passeriformes,phyllo4,Leaf Warblers,Phylloscopidae,NA,NA,NA
Scenopoeetes dentirostris,NA,Tooth-billed Bowerbird,NA,Zahnlaubenvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Ramsay, EP, 1876)",AU: ne Australien,Scenopoeetes dentirostris_Tooth-billed Bowerbird,Tooth-billed Bowerbird,tobcat2,species,16855,NA,TBBO,SCDE,Passeriformes,ptilon1,Bowerbirds,Ptilonorhynchidae,NA,NA,NA
Odontorchilus cinereus,NA,Tooth-billed Wren,NA,Zahnschnabel-Zaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Pelzeln, 1868)",SA: sw Amazonien,Odontorchilus cinereus_Tooth-billed Wren,Tooth-billed Wren,tobwre1,species,26270,NA,TBWR,ODCI,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Emberiza cirlus,NA,Cirl Bunting,NA,Zaunammer,Za,1,1,1,1,NA,NA,,,1,NA,NA,"Linnaeus, 1766","PAL, AF: s Europa und nw Afrika",Emberiza cirlus_Cirl Bunting,Cirl Bunting,cirbun1,species,31651,NA,CIBU,EMCI,Passeriformes,emberi2,Old World Buntings,Emberizidae,NA,NA,NA
Troglodytes troglodytes,NA,Eurasian Wren,NA,Zaunkönig,Z,1,1,1,1,1,2,,,1,1,NA,"(Linnaeus, 1758)",PAL: weit verbreitet,Troglodytes troglodytes_Eurasian Wren,Eurasian Wren,winwre4,species,26339,NA,"NOWR,EW,EUWR",TRTR,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Zeledonia coronata,NA,Wrenthrush,NA,Zaunkönigsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Ridgway, 1889",,Zeledonia coronata_Wrenthrush,Wrenthrush,wrenth1,species,32459,WRET,WREN,ZECO,Passeriformes,zeledo1,Wrenthrush,Zeledoniidae,NA,NA,NA
Zeledonia coronata,NA,Wrenthrush,NA,Zaunkönigsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Ridgway, 1889","MA: Costa Rica, Panama",Zeledonia coronata_Wrenthrush,Wrenthrush,wrenth1,species,32459,WRET,WREN,ZECO,Passeriformes,zeledo1,Wrenthrush,Zeledoniidae,NA,NA,NA
Psilorhamphus guttatus,NA,Spotted Bamboowren,NA,Zaunkönigtapaculo,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Ménétries, 1835)",SA: ne Argentinien und se Brasilien,Psilorhamphus guttatus_Spotted Bamboowren,Spotted Bamboowren,spobam1,species,13772,NA,SPBA,PSGU,Passeriformes,rhinoc1,Tapaculos,Rhinocryptidae,NA,NA,NA
